"year","genre","total_releases"
2008,Independent Movies,1
2008,Dramas,1
2008,Stand-Up Comedy & Talk Shows,1
2008,Thrillers,1
2009,Dramas,1
2009,Horror Movies,1
2009,International Movies,1
2010,Horror Movies,1
2010,Cult Movies,1
2011,Dramas,13
2011,Sports Movies,2
2011,International Movies,1
2011,Children & Family Movies,1
2011,Faith & Spirituality,1
2011,Thrillers,1
2012,Comedies,2
2012,Documentaries,1
2012,Children & Family Movies,1
2013,Stand-Up Comedy,4
2013,TV Dramas,3
2013,Crime TV Shows,2
2013,Children & Family Movies,2
2013,Documentaries,1
2013,International TV Shows,1
2013,TV Mysteries,1
2013,Stand-Up Comedy & Talk Shows,1
2013,Docuseries,1
2013,Sports Movies,1
2013,TV Sci-Fi & Fantasy,1
2013,Comedies,1
2013,TV Thrillers,1
2013,Music & Musicals,1
2014,Documentaries,8
2014,Children & Family Movies,4
2014,Stand-Up Comedy,4
2014,TV Dramas,3
2014,Comedies,2
2014,Sci-Fi & Fantasy,2
2014,TV Comedies,2
2014,Movies,2
2014,International Movies,2
2014,Sports Movies,1
2014,Action & Adventure,1
2014,TV Thrillers,1
2014,Kids' TV,1
2014,Crime TV Shows,1
2015,Stand-Up Comedy,13
2015,Documentaries,13
2015,Comedies,12
2015,Dramas,12
2015,Children & Family Movies,11
2015,International Movies,10
2015,Independent Movies,7
2015,Kids' TV,6
2015,British TV Shows,6
2015,Music & Musicals,6
2015,TV Comedies,5
2015,Docuseries,5
2015,Science & Nature TV,3
2015,TV Dramas,3
2015,Sports Movies,3
2015,International TV Shows,3
2015,Action & Adventure,2
2015,Thrillers,2
2015,Sci-Fi & Fantasy,2
2015,Horror Movies,2
2015,Romantic TV Shows,1
2015,TV Sci-Fi & Fantasy,1
2015,LGBTQ Movies,1
2015,Crime TV Shows,1
2015,TV Horror,1
2015,TV Mysteries,1
2015,TV Thrillers,1
2015,Romantic Movies,1
2015,Movies,1
2016,International TV Shows,84
2016,International Movies,82
2016,Documentaries,68
2016,Dramas,65
2016,Comedies,48
2016,Romantic TV Shows,42
2016,Kids' TV,40
2016,TV Dramas,39
2016,Stand-Up Comedy,39
2016,TV Comedies,36
2016,Independent Movies,31
2016,Docuseries,27
2016,Crime TV Shows,23
2016,Children & Family Movies,20
2016,British TV Shows,18
2016,Action & Adventure,18
2016,Sports Movies,16
2016,Anime Series,14
2016,Thrillers,14
2016,Music & Musicals,13
2016,Movies,12
2016,Science & Nature TV,10
2016,Korean TV Shows,9
2016,Horror Movies,8
2016,Romantic Movies,7
2016,Sci-Fi & Fantasy,7
2016,TV Action & Adventure,5
2016,Spanish-Language TV Shows,5
2016,TV Thrillers,5
2016,Reality TV,5
2016,Anime Features,4
2016,TV Mysteries,3
2016,Teen TV Shows,3
2016,TV Horror,3
2016,TV Sci-Fi & Fantasy,3
2016,Classic Movies,2
2016,LGBTQ Movies,2
2016,TV Shows,2
2016,Classic & Cult TV,1
2016,Cult Movies,1
2016,Faith & Spirituality,1
2017,International Movies,395
2017,Dramas,293
2017,Documentaries,206
2017,International TV Shows,196
2017,Comedies,177
2017,TV Dramas,125
2017,Independent Movies,116
2017,Action & Adventure,97
2017,Children & Family Movies,78
2017,Thrillers,68
2017,Stand-Up Comedy,63
2017,Romantic Movies,63
2017,Crime TV Shows,62
2017,TV Comedies,55
2017,Romantic TV Shows,55
2017,Music & Musicals,53
2017,Docuseries,50
2017,British TV Shows,43
2017,Kids' TV,41
2017,Sports Movies,35
2017,Horror Movies,35
2017,Korean TV Shows,31
2017,Sci-Fi & Fantasy,21
2017,Science & Nature TV,19
2017,Spanish-Language TV Shows,19
2017,LGBTQ Movies,16
2017,TV Action & Adventure,16
2017,Classic Movies,15
2017,Reality TV,13
2017,Anime Series,11
2017,TV Sci-Fi & Fantasy,10
2017,TV Mysteries,9
2017,Anime Features,9
2017,Stand-Up Comedy & Talk Shows,9
2017,Classic & Cult TV,7
2017,Faith & Spirituality,5
2017,TV Thrillers,5
2017,TV Horror,4
2017,Teen TV Shows,4
2017,Cult Movies,4
2017,Movies,4
2017,TV Shows,2
2018,International Movies,668
2018,Dramas,531
2018,Comedies,297
2018,International TV Shows,208
2018,Action & Adventure,173
2018,Documentaries,167
2018,Independent Movies,163
2018,Thrillers,111
2018,Romantic Movies,108
2018,TV Dramas,103
2018,Music & Musicals,96
2018,TV Comedies,95
2018,Stand-Up Comedy,89
2018,Children & Family Movies,85
2018,Crime TV Shows,81
2018,Horror Movies,78
2018,Docuseries,62
2018,Kids' TV,58
2018,Sci-Fi & Fantasy,56
2018,Romantic TV Shows,43
2018,British TV Shows,38
2018,Reality TV,36
2018,Sports Movies,34
2018,Spanish-Language TV Shows,28
2018,Anime Series,21
2018,LGBTQ Movies,20
2018,Faith & Spirituality,20
2018,TV Action & Adventure,20
2018,Movies,19
2018,Stand-Up Comedy & Talk Shows,18
2018,TV Mysteries,15
2018,Korean TV Shows,14
2018,Cult Movies,12
2018,Science & Nature TV,11
2018,TV Horror,10
2018,TV Sci-Fi & Fantasy,9
2018,Anime Features,7
2018,Teen TV Shows,6
2018,TV Thrillers,5
2018,Classic Movies,4
2018,Classic & Cult TV,3
2018,TV Shows,2
2019,International Movies,610
2019,Dramas,564
2019,Comedies,420
2019,International TV Shows,331
2019,Action & Adventure,202
2019,Independent Movies,201
2019,Documentaries,188
2019,TV Dramas,162
2019,Romantic Movies,150
2019,Children & Family Movies,147
2019,Thrillers,135
2019,TV Comedies,113
2019,Crime TV Shows,109
2019,Horror Movies,97
2019,Romantic TV Shows,96
2019,Docuseries,84
2019,Kids' TV,81
2019,Music & Musicals,77
2019,Sci-Fi & Fantasy,70
2019,Stand-Up Comedy,66
2019,British TV Shows,56
2019,Sports Movies,56
2019,Reality TV,56
2019,Korean TV Shows,52
2019,Classic Movies,44
2019,Anime Series,41
2019,TV Action & Adventure,39
