"country","genre","total_titles","genre_present","coverage_pct","diversity_rank"
United States,Action & Adventure,323,1,97.62,1
United States,Anime Features,3,1,97.62,1
United States,Anime Series,14,1,97.62,1
United States,British TV Shows,10,1,97.62,1
United States,Children & Family Movies,323,1,97.62,1
United States,Classic & Cult TV,15,1,97.62,1
United States,Classic Movies,48,1,97.62,1
United States,Comedies,399,1,97.62,1
United States,Crime TV Shows,124,1,97.62,1
United States,Cult Movies,13,1,97.62,1
United States,Documentaries,429,1,97.62,1
United States,Docuseries,129,1,97.62,1
United States,Dramas,451,1,97.62,1
United States,Faith & Spirituality,6,1,97.62,1
United States,Horror Movies,126,1,97.62,1
United States,Independent Movies,44,1,97.62,1
United States,International Movies,53,1,97.62,1
United States,International TV Shows,34,1,97.62,1
United States,Kids' TV,182,1,97.62,1
United States,Korean TV Shows,1,1,97.62,1
United States,LGBTQ Movies,4,1,97.62,1
United States,Movies,20,1,97.62,1
United States,Music & Musicals,22,1,97.62,1
United States,Reality TV,92,1,97.62,1
United States,Romantic Movies,18,1,97.62,1
United States,Romantic TV Shows,31,1,97.62,1
United States,Sci-Fi & Fantasy,21,1,97.62,1
United States,Science & Nature TV,1,1,97.62,1
United States,Spanish-Language TV Shows,5,1,97.62,1
United States,Sports Movies,5,1,97.62,1
United States,Stand-Up Comedy,210,1,97.62,1
United States,Stand-Up Comedy & Talk Shows,31,1,97.62,1
United States,Teen TV Shows,0,0,97.62,1
United States,Thrillers,72,1,97.62,1
United States,TV Action & Adventure,38,1,97.62,1
United States,TV Comedies,118,1,97.62,1
United States,TV Dramas,64,1,97.62,1
United States,TV Horror,12,1,97.62,1
United States,TV Mysteries,2,1,97.62,1
United States,TV Sci-Fi & Fantasy,1,1,97.62,1
United States,TV Shows,4,1,97.62,1
United States,TV Thrillers,2,1,97.62,1
United Kingdom,Action & Adventure,52,1,78.57,2
United Kingdom,Anime Features,0,0,78.57,2
United Kingdom,Anime Series,0,0,78.57,2
United Kingdom,British TV Shows,216,1,78.57,2
United Kingdom,Children & Family Movies,21,1,78.57,2
United Kingdom,Classic & Cult TV,1,1,78.57,2
United Kingdom,Classic Movies,10,1,78.57,2
United Kingdom,Comedies,49,1,78.57,2
United Kingdom,Crime TV Shows,4,1,78.57,2
United Kingdom,Cult Movies,0,0,78.57,2
United Kingdom,Documentaries,104,1,78.57,2
United Kingdom,Docuseries,9,1,78.57,2
United Kingdom,Dramas,109,1,78.57,2
United Kingdom,Faith & Spirituality,2,1,78.57,2
United Kingdom,Horror Movies,21,1,78.57,2
United Kingdom,Independent Movies,12,1,78.57,2
United Kingdom,International Movies,28,1,78.57,2
United Kingdom,International TV Shows,5,1,78.57,2
United Kingdom,Kids' TV,12,1,78.57,2
United Kingdom,Korean TV Shows,0,0,78.57,2
United Kingdom,LGBTQ Movies,1,1,78.57,2
United Kingdom,Movies,4,1,78.57,2
United Kingdom,Music & Musicals,7,1,78.57,2
United Kingdom,Reality TV,3,1,78.57,2
United Kingdom,Romantic Movies,6,1,78.57,2
United Kingdom,Romantic TV Shows,1,1,78.57,2
United Kingdom,Sci-Fi & Fantasy,8,1,78.57,2
United Kingdom,Science & Nature TV,2,1,78.57,2
United Kingdom,Spanish-Language TV Shows,1,1,78.57,2
United Kingdom,Sports Movies,1,1,78.57,2
United Kingdom,Stand-Up Comedy,18,1,78.57,2
United Kingdom,Stand-Up Comedy & Talk Shows,0,0,78.57,2
United Kingdom,Teen TV Shows,0,0,78.57,2
United Kingdom,Thrillers,14,1,78.57,2
United Kingdom,TV Action & Adventure,3,1,78.57,2
United Kingdom,TV Comedies,1,1,78.57,2
United Kingdom,TV Dramas,2,1,78.57,2
United Kingdom,TV Horror,1,1,78.57,2
United Kingdom,TV Mysteries,1,1,78.57,2
United Kingdom,TV Sci-Fi & Fantasy,0,0,78.57,2
United Kingdom,TV Shows,0,0,78.57,2
United Kingdom,TV Thrillers,0,0,78.57,2
Canada,Action & Adventure,16,1,73.81,3
Canada,Anime Features,0,0,73.81,3
Canada,Anime Series,0,0,73.81,3
Canada,British TV Shows,0,0,73.81,3
Canada,Children & Family Movies,39,1,73.81,3
Canada,Classic & Cult TV,2,1,73.81,3
Canada,Classic Movies,0,0,73.81,3
Canada,Comedies,55,1,73.81,3
Canada,Crime TV Shows,13,1,73.81,3
Canada,Cult Movies,3,1,73.81,3
Canada,Documentaries,33,1,73.81,3
Canada,Docuseries,8,1,73.81,3
Canada,Dramas,41,1,73.81,3
Canada,Faith & Spirituality,1,1,73.81,3
Canada,Horror Movies,20,1,73.81,3
Canada,Independent Movies,11,1,73.81,3
Canada,International Movies,12,1,73.81,3
Canada,International TV Shows,16,1,73.81,3
Canada,Kids' TV,34,1,73.81,3
Canada,Korean TV Shows,0,0,73.81,3
Canada,LGBTQ Movies,1,1,73.81,3
Canada,Movies,3,1,73.81,3
Canada,Music & Musicals,4,1,73.81,3
Canada,Reality TV,2,1,73.81,3
Canada,Romantic Movies,4,1,73.81,3
Canada,Romantic TV Shows,1,1,73.81,3
Canada,Sci-Fi & Fantasy,8,1,73.81,3
Canada,Science & Nature TV,0,0,73.81,3
Canada,Spanish-Language TV Shows,0,0,73.81,3
Canada,Sports Movies,2,1,73.81,3
Canada,Stand-Up Comedy,2,1,73.81,3
Canada,Stand-Up Comedy & Talk Shows,0,0,73.81,3
Canada,Teen TV Shows,0,0,73.81,3
Canada,Thrillers,10,1,73.81,3
Canada,TV Action & Adventure,6,1,73.81,3
Canada,TV Comedies,8,1,73.81,3
Canada,TV Dramas,7,1,73.81,3
Canada,TV Horror,1,1,73.81,3
Canada,TV Mysteries,2,1,73.81,3
Canada,TV Sci-Fi & Fantasy,3,1,73.81,3
Canada,TV Shows,0,0,73.81,3
Canada,TV Thrillers,0,0,73.81,3
Australia,Action & Adventure,8,1,57.14,4
Australia,Anime Features,0,0,57.14,4
Australia,Anime Series,0,0,57.14,4
Australia,British TV Shows,2,1,57.14,4
Australia,Children & Family Movies,14,1,57.14,4
Australia,Classic & Cult TV,0,0,57.14,4
