"genre","total_content"
International TV Shows,774
 Stand-Up Comedy,9
 Spanish-Language TV Shows,172
 Romantic Movies,613
Anime Features,21
TV Horror,11
Stand-Up Comedy & Talk Shows,34
 Kids' TV,63
Docuseries,221
Children & Family Movies,605
Movies,57
 Horror Movies,82
 International Movies,2624
Music & Musicals,18
Reality TV,120
 TV Sci-Fi & Fantasy,83
Thrillers,65
Action & Adventure,859
TV Dramas,67
International Movies,128
Sports Movies,1
 LGBTQ Movies,101
 TV Mysteries,98
 Science & Nature TV,92
 Docuseries,174
 TV Action & Adventure,128
 Music & Musicals,357
Anime Series,176
 Stand-Up Comedy & Talk Shows,22
 Sports Movies,218
Crime TV Shows,399
Romantic Movies,3
Cult Movies,12
 International TV Shows,577
TV Comedies,120
Comedies,1210
 Thrillers,512
 Romantic TV Shows,338
Independent Movies,20
 Independent Movies,736
 TV Comedies,461
 Faith & Spirituality,65
LGBTQ Movies,1
 Comedies,464
 TV Thrillers,57
 Cult Movies,59
 Korean TV Shows,151
 TV Dramas,696
Classic & Cult TV,22
TV Shows,16
Sci-Fi & Fantasy,13
Documentaries,829
 Crime TV Shows,71
Kids' TV,388
 Anime Features,50
Dramas,1600
Horror Movies,275
Stand-Up Comedy,334
 Reality TV,135
 Teen TV Shows,69
TV Action & Adventure,40
 Children & Family Movies,36
 Documentaries,40
Romantic TV Shows,32
 Dramas,827
TV Sci-Fi & Fantasy,1
 Classic & Cult TV,6
British TV Shows,253
 TV Horror,64
 Classic Movies,36
Spanish-Language TV Shows,2
Classic Movies,80
 Sci-Fi & Fantasy,230
